model_id,display,stat,metric,level,population,relation,point,ci_low,ci_high,n_valid,has_ci
qwen3.5-9b,Qwen3.5-9B,relationship_f1::inheritance|micro|compiled_only,relationship_f1,micro,compiled_only,inheritance,0.5471877979027646,0.45971145197488494,0.6308019286319468,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::composition|micro|compiled_only,relationship_f1,micro,compiled_only,composition,0.2383419689119171,0.12415447720764647,0.39064198369565223,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::aggregation|micro|compiled_only,relationship_f1,micro,compiled_only,aggregation,0.1904761904761905,0.11104651162790699,0.29666688219319803,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::dependency|micro|compiled_only,relationship_f1,micro,compiled_only,dependency,0.24635761589403976,0.17069818432211067,0.31485120861263455,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::association|micro|compiled_only,relationship_f1,micro,compiled_only,association,0.34059633027522934,0.26748957385672717,0.42741789241716227,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::message|micro|compiled_only,relationship_f1,micro,compiled_only,message,0.6106958021851638,0.49628854304250714,0.716494853987114,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::inheritance|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,inheritance,0.40083798882681565,0.3272528628184154,0.4693629763539725,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::composition|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,composition,0.12994350282485875,0.06160955158585491,0.21973610480084807,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::aggregation|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,aggregation,0.14102564102564105,0.0784209428452232,0.21726326313272915,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::dependency|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,dependency,0.2,0.13501439884809213,0.2609915329768271,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::association|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,association,0.2636484687083888,0.20657905892327258,0.3308371427467129,1000,True
qwen3.5-9b,Qwen3.5-9B,relationship_f1::message|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,message,0.14735673650617456,0.10485114845889014,0.19412514476360399,1000,True
qwen3.5-9b,Qwen3.5-9B,chrf|micro|compiled_only,chrf,micro,compiled_only,,61.170536418665186,,,0,False
qwen3.5-9b,Qwen3.5-9B,chrf|micro|zeros_for_failed,chrf,micro,zeros_for_failed,,24.402511029635125,,,0,False
qwen3.5-27b,Qwen3.5-27B,csr|csr,csr,csr,,,0.601,0.569,0.632,1000,True
qwen3.5-27b,Qwen3.5-27B,element_f1|micro|compiled_only,element_f1,micro,compiled_only,,0.9170019371181642,0.8905340982629866,0.9405415467589703,1000,True
qwen3.5-27b,Qwen3.5-27B,element_f1|macro|compiled_only,element_f1,macro,compiled_only,,0.9251096307574189,0.9090097956323795,0.9413430252074545,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1|micro|compiled_only,relationship_f1,micro,compiled_only,,0.7223466666666666,0.666140994277195,0.7712744245470289,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1|macro|compiled_only,relationship_f1,macro,compiled_only,,0.8029487763943364,0.7776197684925061,0.8280772641127626,1000,True
qwen3.5-27b,Qwen3.5-27B,chrf|macro|compiled_only,chrf,macro,compiled_only,,68.06719179480999,66.61035005001742,69.48064332332814,1000,True
qwen3.5-27b,Qwen3.5-27B,element_f1|micro|zeros_for_failed,element_f1,micro,zeros_for_failed,,0.676056338028169,0.6448322822869761,0.7074435950264626,1000,True
qwen3.5-27b,Qwen3.5-27B,element_f1|macro|zeros_for_failed,element_f1,macro,zeros_for_failed,,0.5619908880852088,0.5322538189086743,0.5912915005991395,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,,0.4852171452822182,0.4425144128673842,0.526485854646272,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1|macro|zeros_for_failed,relationship_f1,macro,zeros_for_failed,,0.5045722146129962,0.4764958159226201,0.5326122948599178,1000,True
